objid,ra,dec,petroMag_u,petroMag_r,extinction_u,extinction_r,spiral,elliptical
1237674650459898060,167.057961158751,0.0639824513299986,20.31081,17.79769,0.1760494,0.09489804,0,1
1237648721762189458,167.58587765003,0.285728524911592,19.99398,16.91023,0.155966,0.08407228,0,1
1237674650460094629,167.554323325695,0.210104380884684,19.6243,17.13618,0.1427823,0.07696568,0,1
1237648721762058443,167.367031703212,0.366576594088045,20.02957,17.26053,0.1676698,0.09038112,0,1
1237674651534032991,167.881769302998,0.891494080551711,19.4223,16.98475,0.1477352,0.07963552,0,1
1237674649387335811,169.716849169696,-0.721390633786651,20.43851,17.48302,0.1978769,0.106664,0,1
1237648720152232183,169.123435567172,-0.911137120043987,18.64617,15.83763,0.2192733,0.1181976,0,1
1237648720152231990,169.141792698351,-1.02802909064912,18.07407,15.41218,0.22808,0.1229447,0,1
1237674648850137233,168.948657513492,-1.10953654424748,21.10937,17.24381,0.2223351,0.119848,0,1
1237648720688971983,168.868797245219,-0.463312440218098,18.35375,16.03181,0.2571597,0.13862,0,1
1237648720152101088,168.793173663335,-1.03384592581326,19.74889,16.80288,0.2053434,0.1106888,0,1
1237648720151969964,168.476991504563,-0.955143653865762,20.7148,17.36574,0.1700074,0.09164118,0,1
1237648721225515275,168.067293490115,-0.0769140578776647,20.35866,17.64452,0.1525189,0.08221415,0,1
1237648722836127783,168.072309402589,1.08332689943375,18.33444,15.61386,0.1525807,0.08224745,0,1
1237648722836259003,168.376372672615,1.14684041818463,21.33065,17.75213,0.1341093,0.0722906,0,1
1237674651534426266,168.885107600215,0.884816919118243,18.55344,15.53738,0.1761441,0.0949491,0,1
1237648721762648208,168.692125181854,0.28926054440186,19.93326,17.05396,0.2407513,0.1297752,0,1
1237648721762648221,168.7012077332,0.394290346765727,20.60754,17.85782,0.1924298,0.1037278,0,1
1237648721762713833,168.795282636037,0.394332488196002,21.25813,17.74598,0.182514,0.09838277,0,1
1237648721762713754,168.829766098553,0.385537864849445,19.51783,16.35258,0.1821316,0.09817664,0,1
1237648721762910385,169.327534591133,0.328373143096675,19.17042,16.18982,0.1597391,0.08610612,0,1
1237648721763303647,170.205412930992,0.39017172685771,17.45379,14.99159,0.1696967,0.09147368,0,1
1237648720153149538,171.154415403922,-0.991867306092067,16.87963,14.24877,0.1588619,0.08563328,0,1
1237648720689692889,170.441639355126,-0.422159278915183,19.14603,16.73449,0.1679475,0.09053083,0,1
1237674649924665441,170.760156020976,-0.228786660591502,20.04509,16.99477,0.1378204,0.07429104,0,1
1237674650461602024,170.98311884985,0.00509506975536702,20.1369,16.76999,0.1392727,0.07507387,0,1
1237674649924599919,170.597399795702,-0.361863759481853,19.45647,17.67613,0.1607451,0.0866484,0,1
1237648704571506871,170.716667639823,0.0333982863558649,20.35616,17.19958,0.1356687,0.07313115,0,1
1237648721226498210,170.331386025294,-0.00124323997063866,19.59097,16.82052,0.1367922,0.0737368,0,1
1237648721763041373,169.649253730233,0.419761410220545,16.55699,15.20102,0.1514011,0.08161162,0,1
1237648722300240056,170.302873052292,0.78776465572899,21.19213,17.25234,0.1392736,0.07507437,0,1
1237648721763238113,170.022626025445,0.276113645922075,17.95878,15.41937,0.1677031,0.09039906,0,1
1237648722300371192,170.672676964915,0.651772288428609,18.44347,15.65177,0.1306701,0.07043669,0,1
1237648721763696835,171.001850982756,0.411712942987373,21.3327,17.56884,0.1404635,0.07571578,0,1
1237674651535671539,171.71181861695,0.86911005876628,19.28276,16.23131,0.1066896,0.05751021,0,1
1237648720690872460,173.111354855013,-0.471983356843654,19.85489,16.95431,0.1011783,0.05453941,0,1
1237674650462191936,172.250949041242,0.0274991795401472,20.3581,17.71793,0.09045197,0.04875744,0,1
1237648721227022370,171.487427584485,-0.0840739165517377,19.65497,16.20461,0.1220847,0.06580882,0,1
1237648721226891421,171.220626481942,-0.203522436938808,19.56046,16.84326,0.1233782,0.06650606,0,1
1237648720153280843,171.553381635155,-0.858549126129249,21.06917,17.72054,0.1178742,0.06353921,0,1
1237648720153280822,171.591166971443,-0.942335265016668,19.20991,16.36543,0.1195998,0.06446937,0,1
1237674650461602035,170.996306214269,0.0926245685469488,21.2096,17.41801,0.1466422,0.07904635,0,1
1237674650461601990,170.959323601843,0.0786378182593639,18.13542,15.47199,0.146018,0.07870989,0,1
1237648721226694756,170.728651599043,-0.202200142752428,18.53195,16.04398,0.1420073,0.07654793,0,1
1237654670281539736,170.763509538314,0.0574588118665976,17.67702,14.92645,0.14193,0.07650628,0,1
1237648721763631266,170.892186025234,0.326877592674602,19.63222,16.53632,0.1538299,0.08292079,0,1
1237648721763696932,171.122636056263,0.256814481722152,20.15922,17.51857,0.1354899,0.07303476,0,1
1237648721763958962,171.681848994612,0.250362170632893,20.3731,17.25589,0.1339774,0.07221948,0,1
1237674650998735063,171.61086086469,0.605712923886815,21.15421,17.81034,0.1201393,0.06476016,0,1
1237648721764090040,171.958463036839,0.2140693827176,19.26709,16.31621,0.1308963,0.07055865,0,1
1237648721764221085,172.275983584692,0.281408581577464,19.50285,16.44517,0.09719937,0.05239457,0,1
1237648722301157654,172.410696864431,0.649120245477123,20.81072,17.28157,0.1197091,0.06452824,0,1
1237648722838093882,172.517304332395,1.14188653183874,20.84842,17.52104,0.1101556,0.05937851,0,1
